OctaneSinglePotato Data File OctaneSinglePotatoRes_1979.txt
Participant Number: 1979
Date: 03/11/15, Time: 12:15:24
=============================


trial 1, 1, -1, -1, -1, -1, 0, 0, 0, 0
trial 2, 1, 0, 1, 8, 0, 39626.7, 0, 0.220051, 0
trial 3, 1, 1, 5, 7, 1, 7010.67, 0.75694, 0.211533, 0.084364
trial 4, 1, 0, 6, 0, 2, 68032, 0.827225, 0.0712931, 0.620479
trial 5, 1, 1, 0, 1, 3, 68930.7, 0.14646, 0.114141, 0.717103
trial 6, 1, 0, 0, 4, 6, 70746.7, 0, 0.756861, 0.843777
trial 7, 1, 0, 2, 6, 4, 59554.7, 0.32881, 0.759478, 0.826883
trial 8, 1, 1, 4, 7, 8, 59640, 0.717931, 0.859513, 1
trial 9, 1, 1, 5, 5, 6, 79824, 0.534972, 0.773258, 0.831871
trial 10, 1, 1, 2, 6, 3, 5792, 0.395749, 0.693422, 0.691919
trial 11, 1, 1, 3, 2, 3, 20253.3, 0.332356, 0.14014, 0.380302
trial 12, 1, 0, 5, 8, 1, 60050.7, 0.857266, 0.747686, 0.144616
trial 13, 1, 0, 6, 6, 6, 68410.7, 1, 0.786242, 0.9576
trial 14, 1, 0, 1, 2, 6, 78712, 0.346376, 0.49083, 0.688321
trial 15, 1, 0, 3, 4, 6, 66197.3, 0.5, 0.814715, 0.841372
trial 16, 1, 1, 8, 4, 1, 269.333, 0.851644, 0.351207, 0.767873
trial 17, 1, 1, 2, 4, 4, 12152, 0.661489, 0.629434, 0.758625
trial 18, 1, 0, 4, 5, 5, 2328, 0.769254, 0.538782, 0.646546
trial 19, 1, 0, 8, 8, 5, 20186.7, 0.884643, 0.69806, 0.722822
trial 20, 1, 0, 5, 6, 0, 47957.3, 0.769477, 0.517355, 0.199699
trial 21, 1, 1, 4, 2, 7, 59696, 0.717706, 0.239854, 0.80656
trial 22, 1, 1, 6, 2, 8, 8560, 0.980974, 0.173091, 1
trial 23, 1, 1, 8, 3, 3, 56106.7, 1, 0.5, 0.5
trial 24, 1, 1, 4, 1, 1, 24154.7, 0.692766, 0.196034, 0.134485
trial 25, 1, 0, 7, 6, 0, 57168, 0.899478, 0.682282, 0.181604
trial 26, 1, 0, 8, 0, 1, 2776, 1, 0.138466, 0
trial 27, 1, 0, 0, 8, 4, 29800, 0.29675, 0.686363, 0.669195
trial 28, 1, 1, 5, 4, 0, 37829.3, 0.788012, 0.376037, 0.259483
trial 29, 1, 0, 6, 8, 5, 42162.7, 0.791131, 0.785276, 0.800432
trial 30, 1, 1, 4, 6, 8, 34269.3, 1, 1, 1
trial 31, 1, 1, 2, 4, 2, 35562.7, 0.449698, 0.174446, 0.265744
trial 32, 1, 0, 4, 8, 7, 5256, 0.807011, 0.762061, 0.904562
trial 33, 1, 1, 0, 6, 6, 68717.3, 0, 0.72614, 0.865776
trial 34, 1, 0, 8, 4, 2, 17949.3, 1, 0.300907, 0.259795
trial 35, 1, 0, 2, 6, 1, 77008, 0.706898, 0.342109, 0.304805
trial 36, 1, 0, 2, 5, 5, 66888, 0.496117, 0.746549, 0.791984
trial 37, 1, 1, 7, 5, 2, 61050.7, 1, 0.372226, 0.345046
trial 38, 1, 1, 7, 1, 5, 17688, 1, 0.243217, 0.313951
trial 39, 1, 1, 0, 8, 2, 1056, 0.319114, 0.740333, 0.237495
trial 40, 1, 0, 3, 4, 2, 29909.3, 0.4171, 0.319386, 0.38223
trial 41, 1, 1, 6, 4, 2, 38829.3, 0.815267, 0.333641, 0.396801
trial 42, 1, 1, 8, 0, 7, 66594.7, 0.981919, 0.379774, 0.880074
trial 43, 1, 1, 4, 7, 5, 21392, 0.732175, 0.785977, 0.682544
trial 44, 1, 1, 7, 7, 4, 23392, 0.856071, 0.738498, 0.73924
trial 45, 1, 0, 0, 2, 6, 12488, 0.218363, 0.168123, 0.932108
trial 46, 1, 0, 4, 5, 8, 1056, 0.499599, 0.756887, 0.859104
trial 47, 1, 1, 8, 8, 6, 19354.7, 0.799715, 0.511287, 0.5
trial 48, 1, 1, 6, 3, 1, 165.333, 0.661243, 0.165261, 0.124127
trial 49, 1, 0, 1, 4, 1, 77165.3, 0.311625, 0.529434, 0.233653
trial 50, 1, 0, 0, 1, 5, 75261.3, 0.304716, 0.241296, 0.705733
trial 51, 1, 1, 6, 8, 7, 71661.3, 0.898385, 1, 0.833262
trial 52, 1, 1, 5, 7, 4, 63258.7, 0.82372, 0.797527, 0.784462
trial 53, 1, 1, 7, 4, 7, 5512, 0.988419, 0.834329, 0.991734
trial 54, 1, 0, 4, 3, 0, 21328, 0.5, 0.46115, 0
trial 55, 1, 0, 5, 0, 2, 71146.7, 0.692678, 0, 0.359294
trial 56, 1, 0, 2, 5, 3, 4349.33, 0.486131, 0.446374, 0.374337
trial 57, 1, 0, 1, 3, 7, 42413.3, 0.418851, 0.853893, 0.878402
trial 58, 1, 0, 2, 6, 5, 30578.7, 0.381813, 0.573315, 0.785037
trial 59, 1, 0, 3, 2, 3, 53688, 0.39406, 0.13492, 0.593772
trial 60, 1, 1, 8, 2, 4, 63717.3, 0.912087, 0.0373955, 0.5
trial 61, 1, 0, 0, 4, 8, 71504, 0.0266903, 0.783934, 0.978397
trial 62, 1, 1, 8, 3, 1, 66386.7, 1, 0.345537, 0
trial 63, 1, 1, 8, 5, 1, 31293.3, 1, 0.243277, 0.317448
trial 64, 1, 0, 5, 3, 4, 44608, 0.263806, 0.162043, 0.446067
trial 65, 1, 1, 0, 1, 5, 64565.3, 0.276972, 0.270585, 0.227745
trial 66, 1, 0, 8, 5, 2, 56421.3, 0.5, 0.486659, 0.5
trial 67, 1, 1, 2, 8, 7, 79480, 0.727846, 1, 1
trial 68, 1, 1, 4, 0, 3, 43954.7, 0.695048, 0, 0.754025
trial 69, 1, 0, 6, 2, 2, 76165.3, 0.702475, 0.288216, 0.686766
trial 70, 1, 1, 4, 6, 3, 10322.7, 0.68237, 0.675816, 0.420296
trial 71, 1, 1, 5, 8, 2, 4440, 0.736025, 0.625994, 0.643703
trial 72, 1, 0, 3, 7, 1, 40978.7, 0.355149, 0.5, 0.5
trial 73, 1, 0, 1, 8, 4, 32709.3, 0.226333, 0.761112, 1
trial 74, 1, 1, 5, 7, 2, 52882.7, 0.502088, 0.49831, 0.73054
