OctaneSinglePotato trial list
----------------------

Trial Number | Haptic Presence | Environment | Glossiness | Depth | Conflict | Timer 1 | Timer 2 | Timer 3 | GlossResult | DepthResult
----------------------
1, 0, 1, 2, 10, 0, -73232, 0, -1, -1
2, 0, 1, 3, 2, 0, 26501.3, 0, -1, -1
3, 0, 1, 10, 2, 0, -51280, 0, -1, -1
4, 0, 0, 6, 6, 0, 11450.7, 0, -1, -1
5, 0, 0, 7, 2, 0, 21978.7, 0, -1, -1
6, 0, 0, 2, 2, 0, 58389.3, 0, -1, -1
7, 0, 1, 8, 5, 0, -44613.3, 0, -1, -1
8, 0, 1, 6, 8, 0, 8138.67, 0, -1, -1
9, 0, 1, 6, 2, 0, 52592, 0, -1, -1
10, 0, 0, 5, 10, 0, 5354.66, 0, -1, -1
11, 0, 0, 10, 9, 0, 36160, 0, -1, -1
12, 0, 0, 10, 7, 0, -122.666, 0, -1, -1
13, 0, 0, 6, 8, 0, -21770.7, 0, -1, -1
14, 0, 0, 7, 5, 0, -48848, 0, -1, -1
15, 0, 1, 5, 6, 0, -1557.33, 0, -1, -1
16, 0, 0, 3, 9, 0, 66080, 0, -1, -1
17, 0, 1, 6, 6, 0, -57146.7, 0, -1, -1
18, 0, 1, 8, 9, 0, -2373.33, 0, -1, -1
19, 0, 1, 5, 3, 0, 5024, 0, -1, -1
20, 0, 0, 6, 5, 0, 34650.7, 0, -1, -1
21, 0, 1, 3, 10, 0, 11002.7, 0, -1, -1
22, 0, 1, 8, 3, 0, 9040, 0, -1, -1
23, 0, 0, 10, 4, 0, 13061.3, 0, -1, -1
24, 0, 0, 9, 6, 0, 1552, 0, -1, -1
25, 0, 1, 9, 4, 0, 25546.7, 0, -1, -1
26, 0, 0, 3, 8, 0, 69354.7, 0, -1, -1
27, 0, 1, 7, 3, 0, -40901.3, 0, -1, -1
28, 0, 0, 4, 5, 0, 61893.3, 0, -1, -1
29, 0, 1, 3, 7, 0, -30997.3, 0, -1, -1
30, 0, 0, 6, 2, 0, 40789.3, 0, -1, -1
31, 0, 0, 7, 3, 0, 14320, 0, -1, -1
32, 0, 1, 8, 4, 0, 52565.3, 0, -1, -1
33, 0, 0, 8, 6, 0, -59717.3, 0, -1, -1
34, 0, 1, 4, 2, 0, 77722.7, 0, -1, -1
35, 0, 0, 6, 9, 0, -27728, 0, -1, -1
36, 0, 0, 9, 2, 0, -45552, 0, -1, -1
