OctaneSinglePotato Data File OctaneSinglePotatoRes_2803.txt
Participant Number: 2803
Date: 02/26/15, Time: 16:57:46
=============================


trial 1, 1, -1, -1, -1, -1, 0, 0, 0, 0
trial 2, 1, 0, 1, 8, 0, 39626.7, 0.326473, 0.78633, 0.246182
trial 3, 1, 1, 5, 7, 1, 7010.67, 0.727745, 0.865448, 0.0987538
trial 4, 1, 0, 6, 0, 2, 68032, 0.839344, 0.336138, 0.830297
trial 5, 1, 1, 0, 1, 3, 68930.7, 0.0895103, 0.643081, 0.715275
trial 6, 1, 0, 0, 4, 6, 70746.7, 0.260532, 0.865433, 0.690636
trial 7, 1, 0, 2, 6, 4, 59554.7, 0.398035, 0.791817, 0.333439
trial 8, 1, 1, 4, 7, 8, 59640, 0.594466, 0.82949, 0.719094
trial 9, 1, 1, 5, 5, 6, 79824, 0.569924, 0.759353, 0.873218
trial 10, 1, 1, 2, 6, 3, 5792, 0.24467, 0.736734, 0.409316
trial 11, 1, 1, 3, 2, 3, 20253.3, 0.412685, 0.838719, 0.600175
trial 12, 1, 0, 5, 8, 1, 60050.7, 0.699396, 0.840373, 0.453113
trial 13, 1, 0, 6, 6, 6, 68410.7, 0.8442, 0.666043, 0.845708
trial 14, 1, 0, 1, 2, 6, 78712, 0.325774, 0.871332, 0.900411
trial 15, 1, 0, 3, 4, 6, 66197.3, 0.354245, 0.820537, 0.773317
trial 16, 1, 1, 8, 4, 1, 269.333, 0.749281, 0.194418, 0.591039
trial 17, 1, 1, 2, 4, 4, 12152, 0.22405, 0.676657, 0.406262
trial 18, 1, 0, 4, 5, 5, 2328, 0.779862, 0.91549, 0.800748
trial 19, 1, 0, 8, 8, 5, 20186.7, 0.760329, 0.891033, 0.785413
trial 20, 1, 0, 5, 6, 0, 47957.3, 0.728693, 0.75148, 0
trial 21, 1, 1, 4, 2, 7, 59696, 0.791183, 0.798076, 0.976462
trial 22, 1, 1, 6, 2, 8, 8560, 0.827667, 0.936046, 0.875079
trial 23, 1, 1, 8, 3, 3, 56106.7, 0.868134, 0.755479, 0.356215
trial 24, 1, 1, 4, 1, 1, 24154.7, 0.132505, 0.725492, 0.302977
trial 25, 1, 0, 7, 6, 0, 57168, 0.835016, 0.408644, 0.13766
trial 26, 1, 0, 8, 0, 1, 2776, 0.957947, 0.246727, 0.385167
trial 27, 1, 0, 0, 8, 4, 29800, 0.0445798, 0.688094, 0.444892
trial 28, 1, 1, 5, 4, 0, 37829.3, 0.609378, 0.512972, 0.191994
trial 29, 1, 0, 6, 8, 5, 42162.7, 0.928095, 0.780126, 0.847858
trial 30, 1, 1, 4, 6, 8, 34269.3, 0.842376, 0.848929, 0.942203
trial 31, 1, 1, 2, 4, 2, 35562.7, 0.0849741, 0.83578, 0.5
trial 32, 1, 0, 4, 8, 7, 5256, 0.809749, 0.905212, 0.787559
trial 33, 1, 1, 0, 6, 6, 68717.3, 0.214515, 0.921078, 0.791098
trial 34, 1, 0, 8, 4, 2, 17949.3, 0.871347, 0.609559, 0.325677
trial 35, 1, 0, 2, 6, 1, 77008, 0.144304, 0.669911, 0.21567
trial 36, 1, 0, 2, 5, 5, 66888, 0.196068, 0.636191, 0.604503
trial 37, 1, 1, 7, 5, 2, 61050.7, 0.859449, 0.622607, 0.297653
trial 38, 1, 1, 7, 1, 5, 17688, 0.954187, 0.84778, 0.748878
